categoria;assunto;enunciado;a;b;c;d;e;correta
Arrais Amador;Geral;A fim de melhorar o conforto da vítima com fratura na perna, a melhor posição que a perna deve ser imobilizada é:;dobrada;em qualquer posição;não há preocupação quanto a posição;na posição que quebrou;esticada;esticada
Arrais Amador;Geral;Considerando as características abaixo descritas, assinale a alternativa que corresponde ao sinal náutico: É um sinal cego ou luminoso. É dotado de marca de tope, duas esferas pretas, uma sobre a outra e possui cor preta, com uma ou mais faixas horizontais encarnadas (vermelhas):;Sinal Especial;Sinal de Águas Seguras;Sinal Lateral Bombordo;Sinal Lateral Boreste;Sinal de Perigo Isolado;Sinal de Perigo Isolado
Arrais Amador;Geral;De acordo com Regulamento Internacional para Evitar Abalroamento no Mar (RIPEAM), as marcas em forma de balão (esfera), cones, etc deverão ser exibidas:;em situação de manobra;apenas em visibilidade restrita;apenas durante o dia;apenas durante a noite;Nenhuma das alternativas acima;apenas durante o dia
Arrais Amador;Geral;O balizamento que indica perigo isolado, possui as cores:;branca e preta em listas horizontais;branca e encarnada em listas verticais;preta e encarnada em listas horizontais;encarnada e amarela em duas metades;preta e encarnada em listas verticais;preta e encarnada em listas horizontais
Arrais Amador;Geral;A indicação de profundidade em um ecobatímetro pode ser:;digital ou virtual;sonora ou analógica;colorida ou preto e branco;digital ou analógica;azul ou vermelha;digital ou analógica
Arrais Amador;Geral;Havendo o flagrante de infração às normas em vigor, será lavrado um Auto de Infração para o Comandante da embarcação. Quantos dias de prazo o Comandante terá para apresentar sua Defesa Prévia:;12 dias;10 dias;20 dias;15 dias;5 dias;15 dias
Arrais Amador;Geral;Os primeiros socorros são as primeiras providências tomadas no local do acidente que visam:;aplicar medicamentos que ajudarão a recuperação dos acidentados em uma semana;salvar a vida humana, aliviar dores e evitar complicações em feridos e acidentados;curar as pessoas acidentadas, diminuindo suas dores e complicações;realizar procedimentos de enfermaria, o que dispensará o apoio médico posterior;restabelecer as pessoas, para que continuem aproveitando a viagem a bordo;salvar a vida humana, aliviar dores e evitar complicações em feridos e acidentados
Arrais Amador;Geral;É a lesão decorrente da exposição prolongada ao frio:;intermação;hemorragia;insolação;geladura;hipotermia;geladura
Arrais Amador;Geral;Em uma embarcação atracada, em que situação nós precisamos manter alguém cuidando das espias para ir aumentando ou diminuindo seu comprimento:;quando estiver em local com muita correnteza;quando estiver em locais de grande amplitude de maré;quando estiver em locais de pouca profundidade;quando estiver em locais onde haja perigo de furto/roubo;quando estiver em locais de grande profundidade;quando estiver em locais de grande amplitude de maré
Arrais Amador;Geral;Os colete salva-vidas devem ser vestidos:;com a parte flutuante para frente, após retirar a roupa;com a parte flutuante para trás, por cima da roupa;com a parte flutuante para frente, por baixo da roupa;com a parte flutuante para frente, por cima da roupa;com a parte flutuante para trás, por cima da roupa;com a parte flutuante para frente, por cima da roupa
